entry_date,exit_date,strategy,exit_reason,exit_pnl,open_at_end,dte_at_entry,dte_at_exit,contracts,total_bp,bp_pct_account
2025-02-21,2025-03-27,Iron Condor,roll_21dte,-737.3427884453349,False,45,21,0.8949,15000.0,10.0
2025-04-09,2025-04-24,Iron Condor (High Vol),50pct_profit,732.4963858626489,False,45,35,0.2078,10500.0,7.0
2025-04-14,2025-04-29,Iron Condor (High Vol),50pct_profit,675.6765059290524,False,45,35,0.2332,10500.0,7.0
2025-03-27,2025-05-01,Iron Condor,roll_21dte,502.90020415186956,False,45,21,0.9196,15000.0,10.0
2025-04-24,2025-05-09,Iron Condor (High Vol),50pct_profit,550.3855367703565,False,45,34,0.2708,10500.0,7.0
2025-05-02,2025-05-13,Bull Put Spread (High Vol),roll_up,1727.9704998326497,False,35,28,0.6486,10500.0,7.0
2025-05-16,2025-05-30,Bull Put Spread,roll_21dte,-581.0571219157233,False,30,21,1.1222,15000.0,10.0
2025-06-03,2025-06-16,Bull Put Spread,roll_21dte,1310.594371304624,False,30,21,1.0868,15000.0,10.0
2025-07-07,2025-07-18,Bull Put Spread,roll_21dte,2087.1493208128586,False,30,21,1.0521,15000.0,10.0
2025-07-25,2025-08-28,Bull Call Diagonal,roll_21dte,2704.1257582017784,False,45,21,0.4885,15000.0,10.0
2025-09-02,2025-09-15,Bull Put Spread,roll_21dte,3522.253233321365,False,30,21,1.0516,15000.0,10.0
2025-08-28,2025-10-02,Bull Call Diagonal,roll_21dte,5061.189327751963,False,45,21,0.4965,15000.0,10.0
2025-09-25,2025-10-08,Bull Put Spread,roll_21dte,2809.432934358869,False,30,21,1.0513,15000.0,10.0
2025-10-23,2025-11-05,Bull Put Spread,roll_21dte,1330.5044557373672,False,30,21,0.9979,15000.0,10.0
2025-11-13,2025-11-28,Iron Condor,50pct_profit,2159.646878688798,False,45,35,0.7401,15000.0,10.0
2025-11-17,2025-12-02,Iron Condor (High Vol),50pct_profit,1752.3349395901657,False,45,35,0.4519,10500.0,7.0
2025-11-26,2025-12-10,Bull Put Spread,roll_21dte,2148.9345801010004,False,30,21,0.9931,15000.0,10.0
2025-12-11,2025-12-17,Bull Call Diagonal,trend_flip,-2442.308089554629,False,45,41,0.4528,15000.0,10.0
2025-12-19,2026-01-20,Bull Call Diagonal,trend_flip,775.6055581536586,False,45,26,0.4565,15000.0,10.0
2025-12-18,2026-01-21,Iron Condor,50pct_profit,2103.3075357361354,False,45,24,0.8694,15000.0,10.0
2026-01-14,2026-01-28,Bull Put Spread,roll_21dte,1549.3650548489309,False,30,21,0.9982,15000.0,10.0
2026-01-29,2026-02-11,Bull Put Spread,roll_21dte,-12.023219509092323,False,30,21,0.9877,15000.0,10.0
2026-02-12,2026-03-19,Iron Condor,roll_21dte,692.4743036547447,False,45,21,0.6957,15000.0,10.0
2026-03-09,2026-04-01,Iron Condor (High Vol),50pct_profit,580.3718317560965,False,45,28,0.2304,10500.0,7.0
2026-03-10,2026-04-02,Iron Condor (High Vol),50pct_profit,603.5916978532046,False,45,28,0.2399,10500.0,7.0
2026-04-17,2026-04-30,Bull Put Spread,roll_21dte,1958.9582923033863,False,30,21,0.9323,15000.0,10.0
2026-04-08,2026-05-01,Iron Condor,open_at_end,368.1276542569542,True,45,28,0.6805,15000.0,10.0
2026-04-30,2026-05-01,Bull Put Spread,open_at_end,328.82972479144803,True,30,29,0.9548,15000.0,10.0
